,A1,A2,A3,A4,A5,B
1,29,289,216, 85,14,1
2,30,391,244, 92,16,2
3,30,424,246, 90,18,2
4,30,313,239, 91,10,0
5,35,243,275, 95,30,2
6,35,365,219, 95,21,2
7,43,396,267,100,39,3
8,43,356,274, 79,19,2
9,44,346,255,126,56,3
10,44,156,258, 95,28,0
11,44,278,249,110,42,4
12,44,349,252, 88,21,1
13,44,141,236,129,56,1
14,44,245,236, 97,24,1
15,46,297,256,111,45,3
16,45,310,262, 94,20,2
17,45,151,339, 96,35,3
18,45,370,357, 88,15,4
19,45,379,198,147,64,4
20,45,463,206,105,31,3
21,45,316,245,132,60,4
22,46,280,225,108,36,4
23,44,395,215,101,27,1
24,49,139,220,136,59,0
25,49,245,205,113,37,4
26,49,373,215, 88,25,1
27,51,224,215,118,54,3
28,51,677,210,116,33,4
29,51,424,210,140,59,4
30,61,150,210,105,30,0
